SHIP'S NA,AKA,SHIP'S O,VESSEL TY,YEAR BUIL,WHERE B,DATE LOS,YEAR,MNTH,DAY,LOCATIO,Latitude,Longitude,LATITUDE,LONGITU,CAUSE OF,CONSTRU,FLAG,LENGTH,BEAM,DRAFT,GROSS TO,NET TON,HOME (H,DEPARTU,DESTINAT,MASTER,# CREW,# PASS,LIVES LOS,SHIP VAL,CARGO V,NATURE O,USLSS STA,LOST,PHOTO O,MISC INF,MUSEUM CROSS REFERENCE
Charles Morford,,William S,Schooner,1871,"Chester, P",1/20/1888,1888,1,20,Barnegat,39.7649223,-74.2693297,,,Dismasted,,,131,31,14.7,345,,"New York,",Newport,Somersey,Joseph B Burdge,,,,,,,,N,N,#5956; Towed to New York,
Charles Morgan,,,Pilot boat,,,1844,1844,,,,,,,,Lost at sea,,,,,,,,,,,,,,,,,,,Y,N,,
Charles P Notman,,Samuel R,Schooner,1894,"Bath, ME",########,1900,6,11,Cape May,,,,,Collision,Wood,US,219.3,42.5,20.5,1518,1302,"Bath, ME","Norfolk, V","Portland,",L W Jewett,,,,,,Coal,,Y,N,#127047;Total loss,
Charles P Sinnickson,,George A,Schooner,1863,"Chester, P",2/9/1886,1886,2,9,Barnegat E,,,,,Lost rudder,,,113.8,23.5,8.7,190.9,181.35,Philadelp,Yatesville,"New York,",William S,5,,0,"$6,500","$1,500",Yellow pine,,N,N,#125109; Towed into New York,
Charles Pitman,,,Schooner,,,1/1845,1845,1,,Sandy Hook Romer Shoal,,,,,Grounded; Bilged,,,,,,,,Townsen,Richmond,"New York, NY",,,,,,,,,Y,N,Total loss,
Charles Platt,,James W,Bark,1874,Morristo,2/10/1886,1886,2,10,Barnegat S 3 mi,,,,,Stranded,Wood,US,145,34.8,17.3,632.52,600.89,Philadelp,Pernamb,"New York,",Edwin P S,10,,0,"$25,000","$50,000",Sugar,Ship Bott,Y,N,#125207; Total loss,
Charles R Stone,,,Steamshi,1873,,########,1924,11,7,Bayonne,40.6687141,-74.1143091,,,Burned,,US,,,,55,,,,,,5,,0,,,,,N,N,#125155; Refloated,
Charles T,Marmion,R L Taylor,Steamshi,1864,Philadelp,11/7/1868,1868,11,7,Sandy Hook Flynn Knoll,,,,,"Collision w/ ""General Meade""",,,232,32,19,1051,,"New York,","Savannah,","New York,",Faircloth,,,0,"$150,000",,Cotton,,Y,N,"Towed by ""Lackawanna""; Cargo saved; Later broke up",
Charles W Alcott,,,Schooner,1873,Greenpoi,5/5/1912,1912,5,5,,,,,,,,,132.3,36,9,296,281,"New York,","New York,","Little Egg Harbor, NJ",,6,,0,"$7,200","$1,600",Coal,Little Egg,N,N,#125143; Refloated,
Charles W Church,,,Schooner,1884,"Bath, ME",########,1913,4,14,Barnegat Inlet E 5 mi,,,,,Collision,Wood,,179.3,37.9,13.9,844,718,"Fall River, MA",,,,8,,0,"$10,000","$4,400",,,N,N,"#126320; Towed to Tomkinsville, NY by ""Mohawk""",
Charles W Davis,,,Barge,1904,Philadelp,########,1909,8,25,Cold Spring Inlet North bar,,,,,Stranded,Wood,,,,,221,221,Philadelp,"Bellevue,","Cold Spring, NJ",,1,1,0,"$5,000",$655,Stone,2 Mile Be,N,N,"#162297; Refloated; In tow of ""Aurelia""",
Charles W Parker,,,Schooner,1883,"Salem, M",########,1907,4,23,Atlantic City LSS SE .75 mi,,,,,Stranded,,,71,20.2,7.2,57,54,Kennebu,Atlantic Ci,Cape Hatt,Larsen,11,,0,"$2,000",,None,Atlantic Ci,Y,N,#126087; Total loss,
Charles Will,,,Schooner,,,4/14/1868,1868,4,14,Sandy Hook,,,,,Stranded,,,,,,,,,,,,5,,,,,,,,N,,
Charles Wilma,,,Motor ves,1939,,########,1942,6,22,"Bivalve, NJ",,,,,Burned,,,,,,10,,,,,,,,,,,,,,N,#238856,
Charlestown,,,,,,1/25/1766,1766,1,25,Delaware Bay Branclawine Bank,,,,,,,,,,,,,,"Hamburg,","Philadelphia, PA",,,,,,,,,,N,,
Charlotte (1836),,,Brig,,,10/15/183,1836,10,15,Cape May,,,,,Wrecked,,,,,,,,,Philadelp,"Boston, MA",,,,,,,,,,N,Crew lost,
Charlotte (1869),,,Brig,,,3/27/1869,1869,3,27,Sandy Hook Horseshoe,,,,,Grounded,,,,,,,,,,,,,,,,"$60,000",Molasses,,N,N,Pumped out; Refloated,
Charlotte (1872),,,Brig,,,2/3/1872,1872,2,3,Sandy Hook,,,,,Damaged in gale,,,,,,,,,"Matanzas,","New York, NY",,,,,,"$60,000",Molasses,,N,N,Stayed off shore,
Charlotte (1931),,,Motor ves,1917,,########,1931,12,9,Sea Girt Light,,,,,Stranded,Wood,,,,,77,,,,,,7,,0,,,,,Y,N,#231054; Total loss,
Charlotte A Maxwell,,Gilmartin,Schooner,1917,"Camden,",########,1923,3,27,Sandy Hook Shoal,,,,,Stranded,Wood,US,167.2,35.8,14,688,579,"New York,","New York,",Wilmingt,Tinker,7,,0,,,Cement,,,N,#214808,
Charlotte Brown,,G G Snow,Schooner,1860,"Essex, MA",5/5/1885,1885,5,5,Seabright LSS S 1.25 mi,,,,,Stranded,,US,80,23,8,84,,Provincet,"Harwich,","New York,",J D Pierce,15,,0,"$6,000",$500,Fish,Sea Bright,N,N,#4590; Refloated,
Charlotte T Sibley,,Edward Si,Schooner,1882,"Belfast, M",6/26/1884,1884,6,26,Absecon Inlet E 15 mi,,,,,Lost sails in gale,,,140,32.8,11,358,,"Belfast, M",Jacksonvil,"New York,",Bartlett Thomas,,,,,,,,N,N,#126077,
Charlotte Webb No 5 (1884),,,Pilot scho,1865,"Brooklyn,",9/1/1884,1884,9,1,Sandy Hook S 25 mi,,,,,"Collision w/ ""Alisa""",,,79,23,8,61.54,58.47,"New York,","New York,",Pilot servi,Hines,,,0,,,,,N,N,#4766,
Charlotte Webb No 5 (1886),,,Pilot scho,1865,"Brooklyn,",4/2/1886,1886,4,2,Navasink SSE 20 mi,,,,,"Collision w/ ""Cambusdoon""",,,79,23,8,61.54,58.47,"New York,","New York,",Pilot service,,,,0,,,,,N,N,#4766,
Charlotte Webb No 5 (1889),,,Pilot scho,1865,"Brooklyn,",3/18/1889,1889,3,18,Sandy Hook Light ESE 18 mi,,,,,"Collision w/ ""La Normandie""",,,79,23,8,61.54,58.47,"New York, NY",,Pilot servi,Albert C Malcomb,,,2,,,,,Y,N,#4766; Total loss,
Charlou,,,Motor ves,1920,,6/7/1929,1929,6,7,"Bordentown, NJ",,,,,Burned,,,,,,27,,,,,,7,,0,,,,,,N,#220075,
Charming Nancy,,,Merchantman,,,1784,1784,,,Cape May,,,,,Stranded in gale,,US,,,,,,,Philadelp,West Indi,Penkham,,,,,,,,Y,N,Ship lost; Some cargo saved,
Charming Peggy (1752),,,Schooner,,,11/13/175,1752,11,13,Sandy Hook,,,,,Grounded in gale,,,,,,,,,Cape Fare,"New York,",Alexander Sloan,,,,,,237 bbl tar,,Y,N,Ship lost; Crew & cargo saved,
Charming Peggy (1767),,,Sloop,,,12/1767,1767,12,,Marcus Hook,,,,,Grounded in ice storm,,,,,,,,,Philadelp,"New York,",Stewart,,,,,,,,,N,,
Charres,,,Bark,,,2/11/1850,1850,2,11,Barnegat Shoal,,,,,Wrecked,,,,,,,,,,,,12,,,,,,,,N,,
"Chauncey Jerome, Jr",,Eagle & H,Passenger,1852,East Hadd,1/12/1854,1854,1,12,Long Branch N,,,,,Stranded i,Wood,US,,,,1150,,"New York,","Liverpool,","New York,",Cone,,100,0,,,General,,N,N,"Ship refloated; Pass., crew & cargo saved",
Cheaton,,,Schooner,,,2/8/1872,1872,2,8,Barnegat,39.7649223,-74.2693297,,,Lost sails,,,,,,,,,Port Mora,"New York, NY",,,,,,,,,N,N,,
Cheektowaga,,,Tug,,,########,1923,9,23,Brigantine Shoal,,,,,Stranded,,,,,,331,,,,,,,,,,,,,,N,,
Chelwood Beacon,,Medomsl,Tanker,1960,Rotterda,########,1966,1,24,Sandy Hook Light E 2 mi,,,,,Stranded,Steel,England,665,89.45,33.95,21359,,,Venezuel,"New York,",Peter Jon,52,,0,,,"30,000 ton crude oil",,N,Y,Refloated,
Cherokee (1843),,,Schooner,,,8/14/1843,1843,8,14,New Jersey coast,,,,,Foundered; Abandoned,,,,,,,,"Bristol, RI",Richmond,"Bristol, RI",Usher,,,,,,,,Y,N,Sank; Total loss,
Cherokee (1906),,Clyde SS C,Steamshi,1886,Philadelp,########,1906,1,12,Brigantine Shoal,,,,,Grounded in fog,,,264,43,18.8,2556,1966,"New York,",Santo Do,"New York,",Archibald,56,,0,"$200,000","$100,000",General,South Brig,N,Y,#126391; Refloated,
Cherokee,Edgar F Lu,U S Navy,Tug,1891,"Camden,",########,1918,2,26,Fenwick I,,,38-35-891,74-39-475,Foundere,Steel,US,120,25,14,272,136,,"Newport,",Washingt,Newell,39,,23,,,,,Y,Y,"Sank; Also called ""Gunboat"" by divers",
Chesapeake (1913),,,Steamshi,1900,Wilmingt,########,1913,5,14,Barnegat Light,,,,,In distress,Steel,US,210,32,27.3,1101,732,"Baltimore, MD",,,,17,,0,"$150,000","$150,000",General,,N,N,#127413; Towed to New York,
Chesapeake (1981),,,Fishing boat,,,########,1981,7,28,Barnegat Light E 14 mi,,,,,Burned,,,101,,,,,,Cape May,Fishing service,,4,,0,,,,USCG Bar,Y,N,"Sank; Crew rescued by ""Debbie Flo""",
Chester (1849),,,Bark,,,3/17/1849,1849,3,17,Barnegat Beach,,,,,Stranded,,,,,,,,New Orle,"New Orleans, LA",,Robinson,,,,,,,,,N,,
Chester (1917),,Chester S,Steamship,,,########,1917,11,1,"Lincoln Park, NJ",,,,,Collision,Steel,,,,,419,285,Philadelp,"Chester, P",Philadelp,John V Ke,9,0,0,"$35,000","$6,000",General,,,N,#127620,
Chestina Redman,,,Bark,1873,"Boston, M",2/11/1891,1891,2,11,Shrewsbury Rocks,,,,,Stranded,Wood,US,142.3,32.4,16.4,588.91,559.47,"Boston, M","Savannah,","New York,",Watts,10,,0,"$30,000","$10,000",Timber,Monmout,N,N,#125318; Refloated,
Chicopee,,,Steamshi,1851,,7/28/1869,1869,7,28,"Maurice River, NJ",,,,,Burned,,,,,,172,,,,,,,,,,,,,,N,,
Chief,,,Schooner,,,1838 - 187,1860,,,Barnegat Inlet N 4.5 mi,,,,,Wrecked,,,,,,,,,,,,,,,,,,,,N,,
Chimo,,E C Hincks,Schooner,1869,"Brewer,",10/4/1875,1875,10,4,Townsends Inlet N 3 mi,,,,,Stranded,Wood,US,107,28,8,186,,"Bangor, M","Bangor, M",Charlesto,E Lamsill,10,,0,"$10,000","$5,500",Hay,Ludlams B,N,N,Refloated,
China (1805),,,Merchantman,,,1805,1805,,,Delaware Bay,,,,,Sank,,,,,,,,,"Batavia, N",Philadelp,McPherson,,,,,,,,N,N,Partial loss,
China (1856),,,Brig,,,5/27/1856,1856,5,27,Sandy Hook,,,,,Capsized,,,,,,,,,,,,,,,,,,,Y,N,,
China Arrow,,Socony Va,Tanker,1920,"Fairfield,",2/5/1942,1942,2,5,Winter Q,,,37-59-30,75-11-30,Torpedoe,Steel,US,485,63,28.2,8403,,"New York,",Beaumon,"New York,",Paul Hoff,37,,0,,,81773 bbl fuel oil,,Y,Y,War loss,
China Wr,D H Bills;,Daniel Jo,Bark,1861,"Boston, M",3/1880,1880,3,,Delaware Breakwater E 3.5 mi,,,,,Foundere,Wood,England,167,28,18,594,,"Newport,",Chepstow,Wilmingt,Sjobeck,13,,13,,,"China, Salt",,Y,N,Full of china & artifacts,
Choapa,Helga; Jun,Chilean G,Freighter,1937,Denmark,########,1944,9,21,Long Bran,40.3042778,-73.9923596,40-16-00,73-47-00,Collision,Steel,Chile,292,41.7,16.4,1700,973,Valparais,Chile,"New York, NY",,,,,,,,Collisions,Y,Y,#21656; Hydro #857; Sank,
Chocorua,Chocoma,,Schooner,1869,Glouceste,5/29/1898,1898,5,29,Brigantin,46.8161732,-71.2037584,39-23-00,74-23-00,Stranded,Wood,US,72,21,7.3,62.87,59.73,"New York,",Cape Hen,"New York,",Smith,9,,0,"$3,000",$700,Fish,Brigantine,Y,N,#5734; Total loss,
Choctaw,Boston,Spentonb,Tug,1966,"Brooklyn,",########,1991,4,17,Garden St,38.6127672,-90.2593798,39-37-894,74-01-284,Explosive,Steel,US,90,24,26,,,NJ AR,GSN,24,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
Choctaw (1843),,,Schooner,,,1/30/1843,1843,1,30,Sandy Hook Point,,,,,Stranded,,,,,,,,,Charlesto,"Boston, MA",,,,,,,,,Y,N,Total loss,
Choctaw (1949),,Thorwald,Motor ves,1945,Solomons,########,1949,10,11,Sea Girt E 12 mi,,,,,Foundered,,,44.8,15.2,7.7,33,22,"New York, NY",,Fishing service,,,,,,,,,,N,#247399,
Chrissy James,,James Ma,Dragger,1965,"Supply, N",########,1975,3,20,Manasquan Inlet South Jetty,,,,,Lost power; Stranded,,,49.9,16.9,7,34,23,"New York, NY",,Fishing se,James Ma,2,,0,"$45,000",,None,,Y,Y,#501963; T,Scrapbook #81
Christian Bergh,,Albatross,Freighter,1944,New Orle,########,1949,3,18,Highlands S .5 m,,,,,Stranded,,,422.8,57,34.8,,4380,Baltimore,Greece,"New York, NY",,44,,0,,,,,N,N,#246601; Refloated,
Christian Bergh No 16,,,Pilot schooner,,,6/10/1871,1871,6,10,Highlands E,,,,,Collision,Wood,US,,,,,,,"New York,",Pilot service,,,,,,,,,N,N,Damaged but not lost,
Christiania,,,Brig,,,12/27/186,1866,12,27,Sandy Hook E 6 mi,,,,,"Collision w/ ""North",,Denmark,,,,285,,,Rio de Jan,"New York,",Cornelius,16,,4,,,,,Y,N,Pilot John Fredell also lost,
Christine Ann,,Nicholas,Clam boat,1943,Dorcheste,########,1983,1,21,Atlantic City,,,,,Sank,Wood,US,61.4,16.8,6.9,41,27,Philadelp,Atlantic Ci,Fishing se,Nicholas,3,,3,,,Clams,,Y,N,#273724; T,Scrapbook #15
Cienfuegos (1875),,I M Dunca,Bark,1855,,2/17/1875,1875,2,17,"Cape Henlopen, DE E 3 mi",,,,,Hull pierc,Wood,US,,,323.16,,,Philadelp,"Matanzas,",Philadelp,F P Shepa,9,,0,"$8,000","$24,000",Molasses,,Y,N,#4814; Sank; Total loss,
Cienfuegos (1922),,I M Dunca,Schooner,1902,"Bath, ME",########,1922,5,27,Barnegat Buoy,,,,,Foundere,Wood,US,271.4,46.2,19.3,1915,1757,"Fall River,",Lamberts,"New York,",F P Shepa,9,,,,,Coal,,,N,#127633,
Cinderella,,,Schooner,,,9/1866,1866,9,,,,,,,Wrecked,,,,,,,,,Philadelp,"New York, NY",,,,,,,,,,N,,
Cinderella,,,Fishing trawler,,,########,1983,3,15,Sea Girt A,40.1320592,-74.0345813,40-06-777,73-57-860,Scuttled,Steel,,70,,,,,NJ AR,SG,29,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
Circassian,,Atlantic R,Steamshi,1856,"Belfast, M",12/18/186,1869,12,18,Squan Beach,,,,,Stranded,Iron,,253,40,18,1045,,,New Orle,"New York,",Ellis,,,,,,,,N,N,Refloated; towed to New York,
Cissie Wright,,,Schooner,,,10/19/188,1881,10,19,Cape May LSS E 1.25 mi,,,,,Grounded,,,,,,386,,Philadelp,Providenc,Philadelp,Clark,7,,0,"$25,000",,In ballast,Cape May,N,N,Refloated,
Citation,,J Stephan,Yacht sail,,,5/6/1971,1971,5,6,Brigantine Beach,,,,,Stranded,,,54,,,,,,,,J Stephan,7,,0,"$175,000",,,,,N,,
Citizen,,,Merchantman,,,4/19/1822,1822,4,9,Brigantin,46.8161732,-71.2037584,39-24-00,74-18-00,Wrecked,,,,,17,,,,Manila,"New York, NY",,,,,,,,,Y,N,Sank,
City of At,Somerset,Savannah,Passenger,1911,"Camden,",5/1/1918,1918,5,1,Hereford E 20 mi,,,,,Collision,Steel,US,309.1,46.2,19.3,3648,,"Savannah,","New York,","Savannah,",J Forward,70,69,67,,,,,Y,Y,#208533; Total loss,
City of Georgetown,,Pardon G,Schooner,1902,"Bath, ME",2/2/1913,1913,2,2,Five Fath,,,38-38-00,74-40-00,Collision,Wood,US,168.7,36.4,12.6,599,506,New Bedf,"New York,","Savannah,",Abram J Sl,8,,4,,,Salt,,Y,Y,#127709; Sank; Total loss,
City of Mexico,,F Alexand,Steamshi,1869,Greenpoi,6/22/1875,1875,6,22,Highlands S 30 mi,,,,,"Collision w/ ""Virgin De Montse",,,206,36,20,1026,,"New York,","New York,","Havana, C",Sherwood,,,,,,,,N,N,Repaired; Returned to service,
City of New York,,F Alexand,Steamshi,1873,Greenpoi,6/28/1879,1879,6,28,Barnegat S 18 mi,,,,,"Collision w/ ""Helen""",,US,280,38,17,1716,,"New York,","New York,","Havana, C",John Decker,,,,,,,,N,N,#125163; Partial loss,
City of Norwich,,,Bark,,,4/18/1866,1866,4,18,"Huntington, NJ E 3 mi",,,,,Wrecked,,,,,,,,,,,,12,,,,,,,,N,,
City of Perth,,Ellerman,Steamshi,1949,"Dundee, S",5/7/1963,1963,5,7,Asbury Park E 5 mi,,,,,Collision,Steel,England,485.4,62,28.1,7547,4407,"Glasgow,","New York,","Newport News, VA",,,,,,,,,N,N,#182127; Partial loss; Repaired in Hoboken,
City of Richmond,,Imman SS,Steamshi,1873,"Glasgow,",2/16/1883,1883,2,16,Sandy Hook LSS SE 1.75 mi,,,,,Stranded i,Iron,England,440.8,43.5,34.1,4780,2957,"Liverpool,","Liverpool,","New York,",Condron,425,,0,"$700,000","$180,000",General,Sandy Ho,N,N,#69286; Refloated,
City Services Empire,,,,,,########,1942,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,N,No information,
Civita Carrara,,,Bark,,,6/29/1888,1888,6,29,Manasqua,40.1136928,-74.0376355,40-05-20,74-02-00,Sank,,Italy,,,,434,,,,,,,,1,,,Marble,,Y,N,Total loss,
Civonney,,,Freighter,,,########,1983,3,16,NJ Coast E 270 mi,,,,,Burned &,Steel,Honduras,154,,,,,Honduras,Honduras,,Antonio C,21,,,,,Marijuana,,Y,Y,Smuggling marijuana; Total loss,
Clara (1882),,,Steamshi,1870,New Brun,6/28/1882,1882,6,28,"Port Johnson, NJ",,,,,Collision,,US,,,,58.98,29.45,Perth Am,"New York,","Port Johnson, NJ",,,,1,,,In ballast,,N,N,#5866; Partial loss,
Clara (1906),,,Steamshi,1903,Port Glasg,########,1906,12,14,Mantaloking LSS S 1 mi,,,,,Stranded,Steel,Austria,330.5,48.1,16,3952,2541,"Trieste, A",Mediterra,"New York,",Zar,29,,0,"$150,000","$350,000",General,Mantoloki,N,N,Refloated,
Clara (1922),,,Schooner,1896,"Bath, ME",########,1922,1,12,Barnegat SE 11 mi,,,,,Foundere,Wood,US,184.2,35.1,16.8,828,748,"Boston, M","Norfolk, V","Boston, MA",,4,,0,,,Coal,,,N,#127158,
Clara Belle,,J R Jones,Schooner,1853,Dorcheste,3/13/1872,1872,3,13,"Highlands, NJ",,,,,Wrecked,,,,,7,160,,Baltimore,"New York,","Boston, M",Jones,,,,,,,,,N,,
Clara Brookman,,H D Brook,Schooner,1853,"Bath, ME",9/15/1857,1857,9,15,Squan Inl,33.4474607,-112.0736676,40-01-42,74-03-11,Stranded,Wood,US,,,,1424,,"Bath, ME","Liverpool,","New York, NY",,5,,4,"$55,000","$140,000",,,Y,N,Broke up,
Clara C Frey,,,Schooner,,,1/26/1871,1871,1,26,"Cranberry Inlet, NJ",,,,,Grounded,,US,,,,85,,,Baltimore,"New York,",Cooper,5,,0,,,Lumber,,Y,N,Total loss,
Clara Davidson (1872,,Somers &,Schooner,1865,Tuckerton,12/27/187,1872,12,27,Great Egg Harbor,,,,,Stranded,,,,,8,129,,"Great Egg Harbor, NJ",,,E E Blackman,,,,,,,,N,N,Refloated,
Clara Davidson (1873,,Somers &,Schooner,1865,Tuckerton,3/28/1873,1873,3,28,Cape May Cox's Shoal,,,,,Stranded,,,,,8,129,,Great Egg,North Car,Philadelp,E E Black,9,,0,"$12,000","$3,000",Shingles,Cape May,N,N,Refloated,
Clare Lorraine,,Richard M,Fishing trawler,,,########,1987,1,13,Hudson Canyon,,,,,Collision,Wood,US,72,,,,,,,Fishing se,Richard M,4,,,"$535,000",,,CG Cutter,Y,N,"Crew rescued by ""Lori Michelle""",
Clarella II,,,Motor ves,1929,,9/4/1930,1930,9,4,Cape May,,,,,Burned,,,,,,60,,,,,,,,,,,,,,N,,
Clarence H Venner,,,Schooner,1890,Newbury,########,1905,12,24,Avalon LSS E 1 mi,,,,,Stranded,Wood,,184.7,38,20.4,934,814,"Dennis, M",Wiscosset,Philadelp,Baker,9,,0,"$40,000",,None,Avalon,N,Y,#126605; Refloated,
Clarendon,,,Passenger liner,,,4/7/1815,1815,4,7,Sandy Hook,,,,,Stranded,,US,,,,,,,Bermuda,"New York,",Gaines,,,,,,,,Y,N,Ship lost; Passengers & crew saved,
Clarissa and Mary,,,Schooner,,,12/24/183,1838,12,24,Absecon bar,,,,,Grounded,,,,,,,,,Curacao,"New York, NY",,,,,,,,,Y,N,Total loss,
Clarita,,,Sloop - Yacht,,,8/21/1893,1893,8,21,Sandy Hook Point,,,,,Stranded,,,,,,10,,"New York,",Staten Isl,"Atlantic Highlands,",,3,,0,"$1,500",,None,Sandy Hook,,N,,
Claudia V (1898),,,Schooner,1876,"Islip, NY",9/19/1898,1898,9,19,Great Egg Harbor SW 2 mi,,,,,Stranded,,,46.8,16.5,4.1,22,21,"Somers Point, NJ",,Fishing se,Conover,7,,0,"$1,800",,,,N,N,#125490; Refloated,
Claudia V (1900),,,Schooner,1876,"Islip, NY",########,1900,3,28,Great Egg LSS WSW .75 mi,,,,,Stranded,,,46.8,16.5,4.1,22,21,Somers P,Pleasantv,Maurice R,Conover,2,,0,"$1,800",,None,,N,N,#125490; Refloated,
Claverdale,,Claverdal,Steamshi,1899,"Stockton,",2/2/1902,1902,2,2,South Brigantine LSS SE 2 mi,,,,,Stranded i,Steel,England,330,45.2,18,3307,2122,"London, E",China,"New York,",W Harding,28,,0,"$200,000","$300,000",Tea & gen,Brigantin,N,N,#110069; Refloated,
Clayton Frame,,,Schooner,1864,"Milford, D",6/14/1886,1886,6,14,Monmouth Beach LSS N 1 mi,,,,,Grounded,,,60.2,22.8,4.6,48.69,46.45,"Milville,","Broadkill,","New York,",Charles E,4,,0,"$1,200",$800,Charcoal,Seabright,Y,N,#5368; Total loss,
Cleopatra (1889),,Old Domi,Freighter,1865,Fairhaven,10/29/188,1889,10,29,Delaware,38.9108325,-75.5276699,38-46-644,74-29-920,Collision,Wood,US,200,35,22.6,1045,,"Boston, M",West Poin,"New York,",Ira E Dole,26,0,0,"$25,000",,Cotton & misc freigh,,Y,Y,Sank while under tow,
Cleopatra,Khedive;,United Ar,Steamshi,1944,"Portland,",########,1964,9,20,Sandy Hook,,,,,Grounded,,Liberia,455.2,62.1,28.6,8193,,"Alexandria, Egypt",,"New York, NY",,,,0,,,Construction steel,,N,N,Refloated,
Clepsyda,,,Schooner,,,9/5/1839,1839,9,5,Cold Spring Bar,,,,,Grounded,,,,,,,,East Hada,East Hada,"Philadelphia, PA",,,,0,,,,,,N,,
Climax,,,Steamshi,1872,,########,1934,8,19,"Jersey City, NJ",,,,,Burned,,,,,,119,,,,,,,,,,,,,Y,N,"Also see ""Vigalant"" & ""Malcior""",
Clodian,,R Jolly et,Bark,1863,"Dundee, S",6/25/1886,1886,6,25,Barnegat,39.7649223,-74.2693297,,,Struck by lightening,,England,154.2,27.9,17.3,453,,"London, England",,,J Harris,,,0,,,,,N,N,#47419; 1 man severely injured,
Clyde (1853),,,Ship,,,3/29/1853,1853,3,29,Sandy Ho,34.0377025,-84.4576504,40-27-30,73-59-24,Wrecked,,England,,,,,,,New Castl,"New York, NY",,16,,,,,Coal,,Y,N,Total loss; First voyage,
Clyde (1875),,S B Gurne,Schooner,1857,Lake Erie,9/12/1875,1875,9,12,Barnegat Light E 4.5 mi,,,,,Foundered,,,,,9,220,,Wareham,Georgeto,Wareham,Gurney,,,,,,Coal,,Y,N,"""Pottsville"" rescued crew",
Clydesdale,,R Mackill,Steamshi,1881,Port Glasg,3/7/1884,1884,3,7,Brigantin,46.8161732,-71.2037584,39-24-00,74-18-00,Stranded i,Steel,Scotland,214.4,31.2,13.6,738,608,"Glasgow,","Kingston,","New York,",W Johnst,19,8,0,,,"Sugar, spi",S Briganti,N,N,# 85875; Refloated,
Coal Barg,Navy #203,U S Navy,Coal barge,,,########,1911,11,20,Cape May,38.9351125,-74.9060053,38-52-00,74-02-00,"Broke away from ""U",,US,,,,,,,,,,,,,"$10,000",,,,N,N,"Towed in by Revenue Cutter ""Seneca""",
Coamo (A,Californian,,Steamshi,1891,"Glasgow,",3/5/1917,1917,3,5,Barnegat,39.7649223,-74.2693297,,,Stranded,Steel,,377.2,46.1,21.9,4384,2815,"New York,","San Juan,","New York, NY",,,,,,,,,N,N,#127454; Refloated,
Coamo (B),Californian,,Steamshi,1891,"Glasgow,",4/1/1917,1917,4,1,Scotland Lightship S 15 mi,,,,,Collision,Steel,,377.2,46.1,21.9,4384,2815,"New York,","San Juan,","New York, NY",,,,,,,,,Y,N,#127454; Sank,
Coast Guard Patrol B,,U S Coast,Patrol boat,,,1968,1968,,,"Wildwood, NJ",,,,,Stranded,Steel,US,40,,,,,,,,,,,,"$30,000",,,,,N,All info from Phil Evening Bulletin,
Coastwise,,,Tug steam,1900,,########,1920,7,19,Monmout,40.2802758,-74.0054114,40-20-00,73-18-00,Foundered,,,,,,268,,,,,,,,,,,,,Y,Y,Hydro #202; Sank,
Cogensvil,Catonsvill,Eastern Tr,Schooner,1919,Baltimore,########,1928,1,28,Barnegat Light E,,,,,Broke loo,Wood,US,,,,1281,1210,Baltimore,"Norfolk, V","Kearny, N",Ira Parker,4,,4,"$84,000",,Coal,,Y,N,"Foundered; Sank; Also see ""Arkansas""",
Cohasset,,Eugene W,Schooner,1921,"Noank, CT",########,1926,11,16,Brigantine Gas Buoy,,,,,Damaged,Wood,US,267.3,46.3,23.6,2226,2142,Philadelp,"Norfolk, V","Boston, M",Howard G,5,,0,"$50,000",,Coal,,N,N,#221605; Towed to NY for repairs,
Coimbra,,Standard,Tanker,1937,"Kiel, Ger",########,1942,1,15,Moriches,40.807321,-72.8212131,40-38-676,72-35-786,Torpedoe,Steel,England,422.3,66.4,32.8,6768,3976,"London, E","New York,","London, E",J P Barnar,46,,36,,,9000 ton Lubicating,,Y,Y,#165498; Early WW II loss,
Colaresense,,,Ship,,,########,1906,3,16,Seaside Park,,,,,Stranded,,England,,,,,,,,,,,,0,,########,,,,N,,
Coleman Barge I,,Coleman,Deck barge,,,########,1989,6,27,Sandy Ho,34.0377025,-84.4576504,40-21-060,73-56-125,Pushed u,Steel,US,45,20,6,,,NJ AR,SH,18,,,,,,,,,Y,Y,Open acc,See scrapbooks 38 - 43 - Purple Misc
Coleman II,,Coleman,Deck barge,,,########,1992,6,22,Garden St,38.6127672,-90.2593798,39-37-296,74-01-214,Opened h,Steel,US,60,25,6,,,NJ AR,GSN,50,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
Colleen,Rhea I; Bu,Capt Sean,Tug,1952,New Orle,8/3/1996,1996,8,3,Axel Carls,,,40-02-794,73-59-350,Explosive,Steel,US,92,25,20,,,NJ AR,AXC,4,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
Colon (1884),,,Steamshi,1873,"Chester, P",3/5/1884,1884,3,5,Sandy Hook Romer Shoal,,,,,Stranded,,,292,40,20.3,2685.75,1843.5,"New York,",Aspinwall,"New York,",Shackford,28,38,0,"$200,000","$75,000",General,Sandy Ho,N,N,#125099; Refloated,
